"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"OR";"01.05.2025 22:02:36";23.81827;1;45778918471.5278
"Power";"01.05.2025 22:02:36";50;1;45778918471.5278
"Temperature_Setpoint";"01.05.2025 22:02:36";45;1;45778918471.5278
"Temperature_In";"01.05.2025 22:02:36";15;1;45778918471.5278
"Temperature_Out";"01.05.2025 22:02:36";44.99998;1;45778918471.5278
"OR";"01.05.2025 22:02:37";23.81827;1;45778918483.1597
"Power";"01.05.2025 22:02:37";50;1;45778918483.1597
"Temperature_Setpoint";"01.05.2025 22:02:37";45;1;45778918483.1597
"Temperature_In";"01.05.2025 22:02:37";15;1;45778918483.1597
"Temperature_Out";"01.05.2025 22:02:37";44.99998;1;45778918483.1597
"OR";"01.05.2025 22:02:38";23.81827;1;45778918494.7917
"Power";"01.05.2025 22:02:38";50;1;45778918494.7917
"Temperature_Setpoint";"01.05.2025 22:02:38";45;1;45778918494.7917
"Temperature_In";"01.05.2025 22:02:38";15;1;45778918494.7917
"Temperature_Out";"01.05.2025 22:02:38";44.99998;1;45778918494.7917
"OR";"01.05.2025 22:02:39";23.81827;1;45778918506.412
"Power";"01.05.2025 22:02:39";50;1;45778918506.412
"Temperature_Setpoint";"01.05.2025 22:02:39";45;1;45778918506.412
"Temperature_In";"01.05.2025 22:02:39";15;1;45778918506.412
"Temperature_Out";"01.05.2025 22:02:39";44.99998;1;45778918506.412
"OR";"01.05.2025 22:02:40";23.81827;1;45778918518.0093
"Power";"01.05.2025 22:02:40";50;1;45778918518.0093
"Temperature_Setpoint";"01.05.2025 22:02:40";45;1;45778918518.0093
"Temperature_In";"01.05.2025 22:02:40";15;1;45778918518.0093
"Temperature_Out";"01.05.2025 22:02:40";44.99998;1;45778918518.0093
"OR";"01.05.2025 22:02:41";23.81827;1;45778918529.6181
"Power";"01.05.2025 22:02:41";50;1;45778918529.6181
"Temperature_Setpoint";"01.05.2025 22:02:41";45;1;45778918529.6181
"Temperature_In";"01.05.2025 22:02:41";15;1;45778918529.6181
"Temperature_Out";"01.05.2025 22:02:41";44.99998;1;45778918529.6181
"OR";"01.05.2025 22:02:42";21.1605;1;45778918541.2616
"Power";"01.05.2025 22:02:42";50;1;45778918541.2616
"Temperature_Setpoint";"01.05.2025 22:02:42";50;1;45778918541.2616
"Temperature_In";"01.05.2025 22:02:42";15;1;45778918541.2616
"Temperature_Out";"01.05.2025 22:02:42";44.99998;1;45778918541.2616
"OR";"01.05.2025 22:02:43";21.1605;1;45778918552.9051
"Power";"01.05.2025 22:02:43";50;1;45778918552.9051
"Temperature_Setpoint";"01.05.2025 22:02:43";50;1;45778918552.9051
"Temperature_In";"01.05.2025 22:02:43";15;1;45778918552.9051
"Temperature_Out";"01.05.2025 22:02:43";44.99998;1;45778918552.9051
"OR";"01.05.2025 22:02:44";19.86709;1;45778918564.5255
"Power";"01.05.2025 22:02:44";50;1;45778918564.5255
"Temperature_Setpoint";"01.05.2025 22:02:44";50;1;45778918564.5255
"Temperature_In";"01.05.2025 22:02:44";15;1;45778918564.5255
"Temperature_Out";"01.05.2025 22:02:44";44.99998;1;45778918564.5255
"OR";"01.05.2025 22:02:45";19.25964;1;45778918576.1458
"Power";"01.05.2025 22:02:45";50;1;45778918576.1458
"Temperature_Setpoint";"01.05.2025 22:02:45";50;1;45778918576.1458
"Temperature_In";"01.05.2025 22:02:45";15;1;45778918576.1458
"Temperature_Out";"01.05.2025 22:02:45";44.99998;1;45778918576.1458
"OR";"01.05.2025 22:02:46";18.99821;1;45778918587.8009
"Power";"01.05.2025 22:02:46";50;1;45778918587.8009
"Temperature_Setpoint";"01.05.2025 22:02:46";50;1;45778918587.8009
"Temperature_In";"01.05.2025 22:02:46";15;1;45778918587.8009
"Temperature_Out";"01.05.2025 22:02:46";44.99998;1;45778918587.8009
"OR";"01.05.2025 22:02:47";18.99821;1;45778918599.4329
"Power";"01.05.2025 22:02:47";50;1;45778918599.4329
"Temperature_Setpoint";"01.05.2025 22:02:47";50;1;45778918599.4329
"Temperature_In";"01.05.2025 22:02:47";15;1;45778918599.4329
"Temperature_Out";"01.05.2025 22:02:47";44.99998;1;45778918599.4329
"OR";"01.05.2025 22:02:48";18.91073;1;45778918611.0764
"Power";"01.05.2025 22:02:48";50;1;45778918611.0764
"Temperature_Setpoint";"01.05.2025 22:02:48";50;1;45778918611.0764
"Temperature_In";"01.05.2025 22:02:48";15;1;45778918611.0764
"Temperature_Out";"01.05.2025 22:02:48";44.99998;1;45778918611.0764
"OR";"01.05.2025 22:02:49";18.90944;1;45778918622.7083
"Power";"01.05.2025 22:02:49";50;1;45778918622.7083
"Temperature_Setpoint";"01.05.2025 22:02:49";50;1;45778918622.7083
"Temperature_In";"01.05.2025 22:02:49";15;1;45778918622.7083
"Temperature_Out";"01.05.2025 22:02:49";44.99998;1;45778918622.7083
"OR";"01.05.2025 22:02:50";18.94964;1;45778918634.3287
"Power";"01.05.2025 22:02:50";50;1;45778918634.3287
"Temperature_Setpoint";"01.05.2025 22:02:50";50;1;45778918634.3287
"Temperature_In";"01.05.2025 22:02:50";15;1;45778918634.3287
"Temperature_Out";"01.05.2025 22:02:50";44.99998;1;45778918634.3287
"OR";"01.05.2025 22:02:51";18.94964;1;45778918645.9606
"Power";"01.05.2025 22:02:51";50;1;45778918645.9606
"Temperature_Setpoint";"01.05.2025 22:02:51";50;1;45778918645.9606
"Temperature_In";"01.05.2025 22:02:51";15;1;45778918645.9606
"Temperature_Out";"01.05.2025 22:02:51";45.00003;1;45778918645.9606
"OR";"01.05.2025 22:02:52";19.0111;1;45778918657.5926
"Power";"01.05.2025 22:02:52";50;1;45778918657.5926
"Temperature_Setpoint";"01.05.2025 22:02:52";50;1;45778918657.5926
"Temperature_In";"01.05.2025 22:02:52";15;1;45778918657.5926
"Temperature_Out";"01.05.2025 22:02:52";45.00049;1;45778918657.5926
"OR";"01.05.2025 22:02:53";19.08232;1;45778918669.213
"Power";"01.05.2025 22:02:53";50;1;45778918669.213
"Temperature_Setpoint";"01.05.2025 22:02:53";50;1;45778918669.213
"Temperature_In";"01.05.2025 22:02:53";15;1;45778918669.213
"Temperature_Out";"01.05.2025 22:02:53";45.00218;1;45778918669.213
"OR";"01.05.2025 22:02:54";19.1568;1;45778918680.8333
"Power";"01.05.2025 22:02:54";50;1;45778918680.8333
"Temperature_Setpoint";"01.05.2025 22:02:54";50;1;45778918680.8333
"Temperature_In";"01.05.2025 22:02:54";15;1;45778918680.8333
"Temperature_Out";"01.05.2025 22:02:54";45.00536;1;45778918680.8333
"OR";"01.05.2025 22:02:55";19.23472;1;45778918692.4653
"Power";"01.05.2025 22:02:55";50;1;45778918692.4653
"Temperature_Setpoint";"01.05.2025 22:02:55";50;1;45778918692.4653
"Temperature_In";"01.05.2025 22:02:55";15;1;45778918692.4653
"Temperature_Out";"01.05.2025 22:02:55";45.01149;1;45778918692.4653
"OR";"01.05.2025 22:02:56";19.23472;1;45778918704.0972
"Power";"01.05.2025 22:02:56";50;1;45778918704.0972
"Temperature_Setpoint";"01.05.2025 22:02:56";50;1;45778918704.0972
"Temperature_In";"01.05.2025 22:02:56";15;1;45778918704.0972
"Temperature_Out";"01.05.2025 22:02:56";45.02227;1;45778918704.0972
"OR";"01.05.2025 22:02:57";19.31485;1;45778918715.7292
"Power";"01.05.2025 22:02:57";50;1;45778918715.7292
"Temperature_Setpoint";"01.05.2025 22:02:57";50;1;45778918715.7292
"Temperature_In";"01.05.2025 22:02:57";15;1;45778918715.7292
"Temperature_Out";"01.05.2025 22:02:57";45.03793;1;45778918715.7292
"OR";"01.05.2025 22:02:58";19.39752;1;45778918727.3727
"Power";"01.05.2025 22:02:58";50;1;45778918727.3727
"Temperature_Setpoint";"01.05.2025 22:02:58";50;1;45778918727.3727
"Temperature_In";"01.05.2025 22:02:58";15;1;45778918727.3727
"Temperature_Out";"01.05.2025 22:02:58";45.05903;1;45778918727.3727
"OR";"01.05.2025 22:02:59";19.48216;1;45778918739.0162
"Power";"01.05.2025 22:02:59";50;1;45778918739.0162
"Temperature_Setpoint";"01.05.2025 22:02:59";50;1;45778918739.0162
"Temperature_In";"01.05.2025 22:02:59";15;1;45778918739.0162
"Temperature_Out";"01.05.2025 22:02:59";45.08598;1;45778918739.0162
"OR";"01.05.2025 22:03:00";19.48216;1;45778918750.6481
"Power";"01.05.2025 22:03:00";50;1;45778918750.6481
"Temperature_Setpoint";"01.05.2025 22:03:00";50;1;45778918750.6481
"Temperature_In";"01.05.2025 22:03:00";15;1;45778918750.6481
"Temperature_Out";"01.05.2025 22:03:00";45.11898;1;45778918750.6481
"OR";"01.05.2025 22:03:01";19.57248;1;45778918762.2685
"Power";"01.05.2025 22:03:01";50;1;45778918762.2685
"Temperature_Setpoint";"01.05.2025 22:03:01";50;1;45778918762.2685
"Temperature_In";"01.05.2025 22:03:01";15;1;45778918762.2685
"Temperature_Out";"01.05.2025 22:03:01";45.16238;1;45778918762.2685
"OR";"01.05.2025 22:03:02";19.65457;1;45778918773.912
"Power";"01.05.2025 22:03:02";50;1;45778918773.912
"Temperature_Setpoint";"01.05.2025 22:03:02";50;1;45778918773.912
"Temperature_In";"01.05.2025 22:03:02";15;1;45778918773.912
"Temperature_Out";"01.05.2025 22:03:02";45.20824;1;45778918773.912
"OR";"01.05.2025 22:03:03";19.73699;1;45778918785.544
"Power";"01.05.2025 22:03:03";50;1;45778918785.544
"Temperature_Setpoint";"01.05.2025 22:03:03";50;1;45778918785.544
"Temperature_In";"01.05.2025 22:03:03";15;1;45778918785.544
"Temperature_Out";"01.05.2025 22:03:03";45.26004;1;45778918785.544
"OR";"01.05.2025 22:03:04";19.73699;1;45778918797.1759
"Power";"01.05.2025 22:03:04";50;1;45778918797.1759
"Temperature_Setpoint";"01.05.2025 22:03:04";50;1;45778918797.1759
"Temperature_In";"01.05.2025 22:03:04";15;1;45778918797.1759
"Temperature_Out";"01.05.2025 22:03:04";45.31153;1;45778918797.1759
"OR";"01.05.2025 22:03:05";19.82248;1;45778918808.8079
"Power";"01.05.2025 22:03:05";50;1;45778918808.8079
"Temperature_Setpoint";"01.05.2025 22:03:05";50;1;45778918808.8079
