"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"OR";"03.05.2025 20:55:06";37,71053;1;45780871591,8403
"Power";"03.05.2025 20:55:06";80;1;45780871591,8403
"Temperature_Setpoint";"03.05.2025 20:55:06";45;1;45780871591,8403
"Temperature_In";"03.05.2025 20:55:06";15;1;45780871591,8403
"Temperature_Out";"03.05.2025 20:55:06";45,00067;1;45780871591,8403
"OR";"03.05.2025 20:55:07";37,71048;1;45780871603,4954
"Power";"03.05.2025 20:55:07";80;1;45780871603,4954
"Temperature_Setpoint";"03.05.2025 20:55:07";45;1;45780871603,4954
"Temperature_In";"03.05.2025 20:55:07";15;1;45780871603,4954
"Temperature_Out";"03.05.2025 20:55:07";45,00067;1;45780871603,4954
"OR";"03.05.2025 20:55:08";37,71041;1;45780871615,1505
"Power";"03.05.2025 20:55:08";80;1;45780871615,1505
"Temperature_Setpoint";"03.05.2025 20:55:08";45;1;45780871615,1505
"Temperature_In";"03.05.2025 20:55:08";15;1;45780871615,1505
"Temperature_Out";"03.05.2025 20:55:08";45,00067;1;45780871615,1505
"OR";"03.05.2025 20:55:09";37,71041;1;45780871626,8056
"Power";"03.05.2025 20:55:09";80;1;45780871626,8056
"Temperature_Setpoint";"03.05.2025 20:55:09";45;1;45780871626,8056
"Temperature_In";"03.05.2025 20:55:09";15;1;45780871626,8056
"Temperature_Out";"03.05.2025 20:55:09";45,00067;1;45780871626,8056
"OR";"03.05.2025 20:55:10";37,7105;1;45780871638,4606
"Power";"03.05.2025 20:55:10";80;1;45780871638,4606
"Temperature_Setpoint";"03.05.2025 20:55:10";45;1;45780871638,4606
"Temperature_In";"03.05.2025 20:55:10";15;1;45780871638,4606
"Temperature_Out";"03.05.2025 20:55:10";45,00063;1;45780871638,4606
"OR";"03.05.2025 20:55:11";37,71048;1;45780871650,1157
"Power";"03.05.2025 20:55:11";80;1;45780871650,1157
"Temperature_Setpoint";"03.05.2025 20:55:11";45;1;45780871650,1157
"Temperature_In";"03.05.2025 20:55:11";15;1;45780871650,1157
"Temperature_Out";"03.05.2025 20:55:11";45,0006;1;45780871650,1157
"OR";"03.05.2025 20:55:12";37,71036;1;45780871661,7477
"Power";"03.05.2025 20:55:12";80;1;45780871661,7477
"Temperature_Setpoint";"03.05.2025 20:55:12";45;1;45780871661,7477
"Temperature_In";"03.05.2025 20:55:12";15;1;45780871661,7477
"Temperature_Out";"03.05.2025 20:55:12";45,00056;1;45780871661,7477
"OR";"03.05.2025 20:55:13";37,71036;1;45780871673,3796
"Power";"03.05.2025 20:55:13";80;1;45780871673,3796
"Temperature_Setpoint";"03.05.2025 20:55:13";45;1;45780871673,3796
"Temperature_In";"03.05.2025 20:55:13";15;1;45780871673,3796
"Temperature_Out";"03.05.2025 20:55:13";45,00053;1;45780871673,3796
"OR";"03.05.2025 20:55:14";33,63086;1;45780871685,0347
"Power";"03.05.2025 20:55:14";80;1;45780871685,0347
"Temperature_Setpoint";"03.05.2025 20:55:14";50;1;45780871685,0347
"Temperature_In";"03.05.2025 20:55:14";15;1;45780871685,0347
"Temperature_Out";"03.05.2025 20:55:14";45,00049;1;45780871685,0347
"OR";"03.05.2025 20:55:15";31,66556;1;45780871696,6782
"Power";"03.05.2025 20:55:15";80;1;45780871696,6782
"Temperature_Setpoint";"03.05.2025 20:55:15";50;1;45780871696,6782
"Temperature_In";"03.05.2025 20:55:15";15;1;45780871696,6782
"Temperature_Out";"03.05.2025 20:55:15";45,00045;1;45780871696,6782
"OR";"03.05.2025 20:55:16";31,66556;1;45780871708,3333
"Power";"03.05.2025 20:55:16";80;1;45780871708,3333
"Temperature_Setpoint";"03.05.2025 20:55:16";50;1;45780871708,3333
"Temperature_In";"03.05.2025 20:55:16";15;1;45780871708,3333
"Temperature_Out";"03.05.2025 20:55:16";45,00041;1;45780871708,3333
"OR";"03.05.2025 20:55:17";30,76701;1;45780871719,9884
"Power";"03.05.2025 20:55:17";80;1;45780871719,9884
"Temperature_Setpoint";"03.05.2025 20:55:17";50;1;45780871719,9884
"Temperature_In";"03.05.2025 20:55:17";15;1;45780871719,9884
"Temperature_Out";"03.05.2025 20:55:17";45,00037;1;45780871719,9884
"OR";"03.05.2025 20:55:18";30,40454;1;45780871731,6319
"Power";"03.05.2025 20:55:18";80;1;45780871731,6319
"Temperature_Setpoint";"03.05.2025 20:55:18";50;1;45780871731,6319
"Temperature_In";"03.05.2025 20:55:18";15;1;45780871731,6319
"Temperature_Out";"03.05.2025 20:55:18";45,00034;1;45780871731,6319
"OR";"03.05.2025 20:55:19";30,31252;1;45780871743,2639
"Power";"03.05.2025 20:55:19";80;1;45780871743,2639
"Temperature_Setpoint";"03.05.2025 20:55:19";50;1;45780871743,2639
"Temperature_In";"03.05.2025 20:55:19";15;1;45780871743,2639
"Temperature_Out";"03.05.2025 20:55:19";45,0003;1;45780871743,2639
"OR";"03.05.2025 20:55:20";30,35185;1;45780871754,9074
"Power";"03.05.2025 20:55:20";80;1;45780871754,9074
"Temperature_Setpoint";"03.05.2025 20:55:20";50;1;45780871754,9074
"Temperature_In";"03.05.2025 20:55:20";15;1;45780871754,9074
"Temperature_Out";"03.05.2025 20:55:20";45,00026;1;45780871754,9074
"OR";"03.05.2025 20:55:21";30,35185;1;45780871766,5394
"Power";"03.05.2025 20:55:21";80;1;45780871766,5394
"Temperature_Setpoint";"03.05.2025 20:55:21";50;1;45780871766,5394
"Temperature_In";"03.05.2025 20:55:21";15;1;45780871766,5394
"Temperature_Out";"03.05.2025 20:55:21";45,0004;1;45780871766,5394
"OR";"03.05.2025 20:55:22";30,45508;1;45780871778,206
"Power";"03.05.2025 20:55:22";80;1;45780871778,206
"Temperature_Setpoint";"03.05.2025 20:55:22";50;1;45780871778,206
