"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"OR";"04.05.2025 21:33:07";75.10458;1;45781897993.1019
"Power";"04.05.2025 21:33:07";80;1;45781897993.1019
"Temperature_Setpoint";"04.05.2025 21:33:07";30;1;45781897993.1019
"Temperature_In";"04.05.2025 21:33:07";15;1;45781897993.1019
"Temperature_Out";"04.05.2025 21:33:07";30.02704;1;45781897993.1019
"OR";"04.05.2025 21:33:08";75.11131;1;45781898004.7454
"Power";"04.05.2025 21:33:08";80;1;45781898004.7454
"Temperature_Setpoint";"04.05.2025 21:33:08";30;1;45781898004.7454
"Temperature_In";"04.05.2025 21:33:08";15;1;45781898004.7454
"Temperature_Out";"04.05.2025 21:33:08";30.02627;1;45781898004.7454
"OR";"04.05.2025 21:33:09";75.11131;1;45781898016.3773
"Power";"04.05.2025 21:33:09";80;1;45781898016.3773
"Temperature_Setpoint";"04.05.2025 21:33:09";30;1;45781898016.3773
"Temperature_In";"04.05.2025 21:33:09";15;1;45781898016.3773
"Temperature_Out";"04.05.2025 21:33:09";30.02557;1;45781898016.3773
"OR";"04.05.2025 21:33:10";75.11736;1;45781898028.044
"Power";"04.05.2025 21:33:10";80;1;45781898028.044
"Temperature_Setpoint";"04.05.2025 21:33:10";30;1;45781898028.044
"Temperature_In";"04.05.2025 21:33:10";15;1;45781898028.044
"Temperature_Out";"04.05.2025 21:33:10";30.02497;1;45781898028.044
"OR";"04.05.2025 21:33:11";75.12274;1;45781898039.6875
"Power";"04.05.2025 21:33:11";80;1;45781898039.6875
"Temperature_Setpoint";"04.05.2025 21:33:11";30;1;45781898039.6875
"Temperature_In";"04.05.2025 21:33:11";15;1;45781898039.6875
"Temperature_Out";"04.05.2025 21:33:11";30.02433;1;45781898039.6875
"OR";"04.05.2025 21:33:12";75.12743;1;45781898051.331
"Power";"04.05.2025 21:33:12";80;1;45781898051.331
"Temperature_Setpoint";"04.05.2025 21:33:12";30;1;45781898051.331
"Temperature_In";"04.05.2025 21:33:12";15;1;45781898051.331
"Temperature_Out";"04.05.2025 21:33:12";30.02372;1;45781898051.331
"OR";"04.05.2025 21:33:13";75.12743;1;45781898062.963
"Power";"04.05.2025 21:33:13";80;1;45781898062.963
"Temperature_Setpoint";"04.05.2025 21:33:13";30;1;45781898062.963
"Temperature_In";"04.05.2025 21:33:13";15;1;45781898062.963
"Temperature_Out";"04.05.2025 21:33:13";30.02311;1;45781898062.963
"OR";"04.05.2025 21:33:14";75.13113;1;45781898074.6065
"Power";"04.05.2025 21:33:14";80;1;45781898074.6065
"Temperature_Setpoint";"04.05.2025 21:33:14";30;1;45781898074.6065
"Temperature_In";"04.05.2025 21:33:14";15;1;45781898074.6065
"Temperature_Out";"04.05.2025 21:33:14";30.0225;1;45781898074.6065
"OR";"04.05.2025 21:33:15";75.13386;1;45781898086.2616
"Power";"04.05.2025 21:33:15";80;1;45781898086.2616
"Temperature_Setpoint";"04.05.2025 21:33:15";30;1;45781898086.2616
"Temperature_In";"04.05.2025 21:33:15";15;1;45781898086.2616
"Temperature_Out";"04.05.2025 21:33:15";30.02193;1;45781898086.2616
"OR";"04.05.2025 21:33:16";75.13582;1;45781898097.8935
"Power";"04.05.2025 21:33:16";80;1;45781898097.8935
"Temperature_Setpoint";"04.05.2025 21:33:16";30;1;45781898097.8935
"Temperature_In";"04.05.2025 21:33:16";15;1;45781898097.8935
"Temperature_Out";"04.05.2025 21:33:16";30.0213;1;45781898097.8935
"OR";"04.05.2025 21:33:17";75.13582;1;45781898109.5486
"Power";"04.05.2025 21:33:17";80;1;45781898109.5486
"Temperature_Setpoint";"04.05.2025 21:33:17";30;1;45781898109.5486
"Temperature_In";"04.05.2025 21:33:17";15;1;45781898109.5486
"Temperature_Out";"04.05.2025 21:33:17";30.02065;1;45781898109.5486
"OR";"04.05.2025 21:33:18";75.13706;1;45781898121.1458
"Power";"04.05.2025 21:33:18";80;1;45781898121.1458
"Temperature_Setpoint";"04.05.2025 21:33:18";30;1;45781898121.1458
"Temperature_In";"04.05.2025 21:33:18";15;1;45781898121.1458
"Temperature_Out";"04.05.2025 21:33:18";30.01998;1;45781898121.1458
"OR";"04.05.2025 21:33:19";75.13766;1;45781898132.7894
"Power";"04.05.2025 21:33:19";80;1;45781898132.7894
"Temperature_Setpoint";"04.05.2025 21:33:19";30;1;45781898132.7894
"Temperature_In";"04.05.2025 21:33:19";15;1;45781898132.7894
