VarName;TimeString;VarValue;Validity;Time_ms
rFlow;04.05.2025 12:35;9.017734;1;45781524673.3218
rPower;04.05.2025 12:35;80;1;45781524673.3218
rTemperatureSetpoint;04.05.2025 12:35;30;1;45781524673.3218
rTemperatureIn;04.05.2025 12:35;15;1;45781524673.3218
rTemperatureOut;04.05.2025 12:35;30.00494;1;45781524673.3218
rFlow;04.05.2025 12:35;9.017734;1;45781524684.9769
rPower;04.05.2025 12:35;80;1;45781524684.9769
rTemperatureSetpoint;04.05.2025 12:35;30;1;45781524684.9769
rTemperatureIn;04.05.2025 12:35;15;1;45781524684.9769
rTemperatureOut;04.05.2025 12:35;30.00483;1;45781524684.9769
rFlow;04.05.2025 12:35;9.017734;1;45781524696.6204
rPower;04.05.2025 12:35;80;1;45781524696.6204
rTemperatureSetpoint;04.05.2025 12:35;30;1;45781524696.6204
rTemperatureIn;04.05.2025 12:35;15;1;45781524696.6204
rTemperatureOut;04.05.2025 12:35;30.00471;1;45781524696.6204
rFlow;04.05.2025 12:35;9.017734;1;45781524708.2755
rPower;04.05.2025 12:35;80;1;45781524708.2755
rTemperatureSetpoint;04.05.2025 12:35;30;1;45781524708.2755
rTemperatureIn;04.05.2025 12:35;15;1;45781524708.2755
rTemperatureOut;04.05.2025 12:35;30.00461;1;45781524708.2755
rFlow;04.05.2025 12:35;9.017734;1;45781524719.919
rPower;04.05.2025 12:35;80;1;45781524719.919
rTemperatureSetpoint;04.05.2025 12:35;30;1;45781524719.919
rTemperatureIn;04.05.2025 12:35;15;1;45781524719.919
rTemperatureOut;04.05.2025 12:35;30.00451;1;45781524719.919
rFlow;04.05.2025 12:35;9.017734;1;45781524731.5741
rPower;04.05.2025 12:35;80;1;45781524731.5741
rTemperatureSetpoint;04.05.2025 12:35;30;1;45781524731.5741
rTemperatureIn;04.05.2025 12:35;15;1;45781524731.5741
rTemperatureOut;04.05.2025 12:35;30.00442;1;45781524731.5741
rFlow;04.05.2025 12:35;9.017734;1;45781524743.206
rPower;04.05.2025 12:35;80;1;45781524743.206
rTemperatureSetpoint;04.05.2025 12:35;30;1;45781524743.206
rTemperatureIn;04.05.2025 12:35;15;1;45781524743.206
rTemperatureOut;04.05.2025 12:35;30.00434;1;45781524743.206
rFlow;04.05.2025 12:35;9.017735;1;45781524754.8611
rPower;04.05.2025 12:35;80;1;45781524754.8611
rTemperatureSetpoint;04.05.2025 12:35;30;1;45781524754.8611
rTemperatureIn;04.05.2025 12:35;15;1;45781524754.8611
rTemperatureOut;04.05.2025 12:35;30.00426;1;45781524754.8611
rFlow;04.05.2025 12:35;9.017736;1;45781524766.5046
rPower;04.05.2025 12:35;80;1;45781524766.5046
rTemperatureSetpoint;04.05.2025 12:35;30;1;45781524766.5046
rTemperatureIn;04.05.2025 12:35;15;1;45781524766.5046
rTemperatureOut;04.05.2025 12:35;30.00418;1;45781524766.5046
rFlow;04.05.2025 12:35;9.017738;1;45781524778.1597
rPower;04.05.2025 12:35;80;1;45781524778.1597
rTemperatureSetpoint;04.05.2025 12:35;30;1;45781524778.1597
rTemperatureIn;04.05.2025 12:35;15;1;45781524778.1597
rTemperatureOut;04.05.2025 12:35;30.00413;1;45781524778.1597
rFlow;04.05.2025 12:35;9.017741;1;45781524789.8032
rPower;04.05.2025 12:35;80;1;45781524789.8032
rTemperatureSetpoint;04.05.2025 12:35;30;1;45781524789.8032
