"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"rFlow";"01.05.2025 22:52:24";2.857937;1;45778953054.838
"rPower";"01.05.2025 22:52:24";50;1;45778953054.838
"rTemperatureSetpoint";"01.05.2025 22:52:24";45;1;45778953054.838
"rTemperatureIn";"01.05.2025 22:52:24";15;1;45778953054.838
"rTemperatureOut";"01.05.2025 22:52:24";45.00994;1;45778953054.838
"rFlow";"01.05.2025 22:52:25";2.857941;1;45778953066.4815
"rPower";"01.05.2025 22:52:25";50;1;45778953066.4815
"rTemperatureSetpoint";"01.05.2025 22:52:25";45;1;45778953066.4815
"rTemperatureIn";"01.05.2025 22:52:25";15;1;45778953066.4815
"rTemperatureOut";"01.05.2025 22:52:25";45.00979;1;45778953066.4815
"rFlow";"01.05.2025 22:52:26";2.857944;1;45778953078.1019
"rPower";"01.05.2025 22:52:26";50;1;45778953078.1019
"rTemperatureSetpoint";"01.05.2025 22:52:26";45;1;45778953078.1019
"rTemperatureIn";"01.05.2025 22:52:26";15;1;45778953078.1019
"rTemperatureOut";"01.05.2025 22:52:26";45.00964;1;45778953078.1019
"rFlow";"01.05.2025 22:52:27";2.857949;1;45778953089.7338
"rPower";"01.05.2025 22:52:27";50;1;45778953089.7338
"rTemperatureSetpoint";"01.05.2025 22:52:27";45;1;45778953089.7338
"rTemperatureIn";"01.05.2025 22:52:27";15;1;45778953089.7338
"rTemperatureOut";"01.05.2025 22:52:27";45.0095;1;45778953089.7338
"rFlow";"01.05.2025 22:52:28";2.857955;1;45778953101.3657
"rPower";"01.05.2025 22:52:28";50;1;45778953101.3657
"rTemperatureSetpoint";"01.05.2025 22:52:28";45;1;45778953101.3657
"rTemperatureIn";"01.05.2025 22:52:28";15;1;45778953101.3657
"rTemperatureOut";"01.05.2025 22:52:28";45.00939;1;45778953101.3657
"rFlow";"01.05.2025 22:52:29";2.857961;1;45778953112.9977
"rPower";"01.05.2025 22:52:29";50;1;45778953112.9977
"rTemperatureSetpoint";"01.05.2025 22:52:29";45;1;45778953112.9977
"rTemperatureIn";"01.05.2025 22:52:29";15;1;45778953112.9977
"rTemperatureOut";"01.05.2025 22:52:29";45.00927;1;45778953112.9977
"rFlow";"01.05.2025 22:52:30";2.857967;1;45778953124.6296
"rPower";"01.05.2025 22:52:30";50;1;45778953124.6296
"rTemperatureSetpoint";"01.05.2025 22:52:30";45;1;45778953124.6296
"rTemperatureIn";"01.05.2025 22:52:30";15;1;45778953124.6296
"rTemperatureOut";"01.05.2025 22:52:30";45.00916;1;45778953124.6296
"rFlow";"01.05.2025 22:52:31";2.462758;1;45778953136.2731
"rPower";"01.05.2025 22:52:31";50;1;45778953136.2731
"rTemperatureSetpoint";"01.05.2025 22:52:31";50;1;45778953136.2731
"rTemperatureIn";"01.05.2025 22:52:31";15;1;45778953136.2731
"rTemperatureOut";"01.05.2025 22:52:31";45.00904;1;45778953136.2731
"rFlow";"01.05.2025 22:52:32";2.45469;1;45778953147.9282
"rPower";"01.05.2025 22:52:32";50;1;45778953147.9282
"rTemperatureSetpoint";"01.05.2025 22:52:32";50;1;45778953147.9282
"rTemperatureIn";"01.05.2025 22:52:32";15;1;45778953147.9282
"rTemperatureOut";"01.05.2025 22:52:32";45.00893;1;45778953147.9282
"rFlow";"01.05.2025 22:52:33";2.44662;1;45778953159.5718
"rPower";"01.05.2025 22:52:33";50;1;45778953159.5718
"rTemperatureSetpoint";"01.05.2025 22:52:33";50;1;45778953159.5718
"rTemperatureIn";"01.05.2025 22:52:33";15;1;45778953159.5718
"rTemperatureOut";"01.05.2025 22:52:33";45.00882;1;45778953159.5718
"rFlow";"01.05.2025 22:52:34";2.439358;1;45778953171.2269
"rPower";"01.05.2025 22:52:34";50;1;45778953171.2269
"rTemperatureSetpoint";"01.05.2025 22:52:34";50;1;45778953171.2269
"rTemperatureIn";"01.05.2025 22:52:34";15;1;45778953171.2269
"rTemperatureOut";"01.05.2025 22:52:34";45.00871;1;45778953171.2269
"rFlow";"01.05.2025 22:52:35";2.431289;1;45778953182.8588
"rPower";"01.05.2025 22:52:35";50;1;45778953182.8588
