"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"OR";"04.05.2025 23:22:58";17,43636;1;45781974283,7731
"Power";"04.05.2025 23:22:58";80;1;45781974283,7731
"Temperature_Setpoint";"04.05.2025 23:22:58";80;1;45781974283,7731
"Temperature_In";"04.05.2025 23:22:58";15;1;45781974283,7731
"Temperature_Out";"04.05.2025 23:22:58";79,9872;1;45781974283,7731
"OR";"04.05.2025 23:22:59";17,43633;1;45781974295,4282
"Power";"04.05.2025 23:22:59";80;1;45781974295,4282
"Temperature_Setpoint";"04.05.2025 23:22:59";80;1;45781974295,4282
"Temperature_In";"04.05.2025 23:22:59";15;1;45781974295,4282
"Temperature_Out";"04.05.2025 23:22:59";79,98743;1;45781974295,4282
"OR";"04.05.2025 23:23:00";17,43631;1;45781974307,0718
"Power";"04.05.2025 23:23:00";80;1;45781974307,0718
"Temperature_Setpoint";"04.05.2025 23:23:00";80;1;45781974307,0718
"Temperature_In";"04.05.2025 23:23:00";15;1;45781974307,0718
"Temperature_Out";"04.05.2025 23:23:00";79,98763;1;45781974307,0718
"OR";"04.05.2025 23:23:01";17,4363;1;45781974318,7269
"Power";"04.05.2025 23:23:01";80;1;45781974318,7269
"Temperature_Setpoint";"04.05.2025 23:23:01";80;1;45781974318,7269
"Temperature_In";"04.05.2025 23:23:01";15;1;45781974318,7269
"Temperature_Out";"04.05.2025 23:23:01";79,98786;1;45781974318,7269
"OR";"04.05.2025 23:23:02";17,4363;1;45781974330,3704
"Power";"04.05.2025 23:23:02";80;1;45781974330,3704
"Temperature_Setpoint";"04.05.2025 23:23:02";80;1;45781974330,3704
"Temperature_In";"04.05.2025 23:23:02";15;1;45781974330,3704
"Temperature_Out";"04.05.2025 23:23:02";79,98807;1;45781974330,3704
"OR";"04.05.2025 23:23:03";17,43628;1;45781974342,0023
"Power";"04.05.2025 23:23:03";80;1;45781974342,0023
"Temperature_Setpoint";"04.05.2025 23:23:03";80;1;45781974342,0023
"Temperature_In";"04.05.2025 23:23:03";15;1;45781974342,0023
"Temperature_Out";"04.05.2025 23:23:03";79,9883;1;45781974342,0023
"OR";"04.05.2025 23:23:04";17,43627;1;45781974353,6458
"Power";"04.05.2025 23:23:04";80;1;45781974353,6458
"Temperature_Setpoint";"04.05.2025 23:23:04";80;1;45781974353,6458
"Temperature_In";"04.05.2025 23:23:04";15;1;45781974353,6458
"Temperature_Out";"04.05.2025 23:23:04";79,98853;1;45781974353,6458
"OR";"04.05.2025 23:23:05";17,43628;1;45781974365,3009
"Power";"04.05.2025 23:23:05";80;1;45781974365,3009
"Temperature_Setpoint";"04.05.2025 23:23:05";80;1;45781974365,3009
"Temperature_In";"04.05.2025 23:23:05";15;1;45781974365,3009
"Temperature_Out";"04.05.2025 23:23:05";79,98872;1;45781974365,3009
"OR";"04.05.2025 23:23:06";17,43628;1;45781974376,9444
"Power";"04.05.2025 23:23:06";80;1;45781974376,9444
"Temperature_Setpoint";"04.05.2025 23:23:06";80;1;45781974376,9444
"Temperature_In";"04.05.2025 23:23:06";15;1;45781974376,9444
"Temperature_Out";"04.05.2025 23:23:06";79,98888;1;45781974376,9444
"OR";"04.05.2025 23:23:07";17,43626;1;45781974388,6227
"Power";"04.05.2025 23:23:07";80;1;45781974388,6227
"Temperature_Setpoint";"04.05.2025 23:23:07";80;1;45781974388,6227
"Temperature_In";"04.05.2025 23:23:07";15;1;45781974388,6227
"Temperature_Out";"04.05.2025 23:23:07";79,98901;1;45781974388,6227
"OR";"04.05.2025 23:23:08";17,43622;1;45781974400,2778
"Power";"04.05.2025 23:23:08";80;1;45781974400,2778
"Temperature_Setpoint";"04.05.2025 23:23:08";80;1;45781974400,2778
"Temperature_In";"04.05.2025 23:23:08";15;1;45781974400,2778
"Temperature_Out";"04.05.2025 23:23:08";79,98915;1;45781974400,2778
"OR";"04.05.2025 23:23:09";17,43619;1;45781974411,956
"Power";"04.05.2025 23:23:09";80;1;45781974411,956
"Temperature_Setpoint";"04.05.2025 23:23:09";80;1;45781974411,956
"Temperature_In";"04.05.2025 23:23:09";15;1;45781974411,956
"Temperature_Out";"04.05.2025 23:23:09";79,98929;1;45781974411,956
"OR";"04.05.2025 23:23:10";17,43619;1;45781974423,6227
"Power";"04.05.2025 23:23:10";80;1;45781974423,6227
"Temperature_Setpoint";"04.05.2025 23:23:10";80;1;45781974423,6227
"Temperature_In";"04.05.2025 23:23:10";15;1;45781974423,6227
"Temperature_Out";"04.05.2025 23:23:10";79,98944;1;45781974423,6227
"OR";"04.05.2025 23:23:11";17,43617;1;45781974435,3356
"Power";"04.05.2025 23:23:11";80;1;45781974435,3356
"Temperature_Setpoint";"04.05.2025 23:23:11";80;1;45781974435,3356
"Temperature_In";"04.05.2025 23:23:11";15;1;45781974435,3356
